,sno,DISTRICT,NAME,WINNERCANDIDATE,WINNERPARTY,WINNERVOTES,WINNERPERCENTAGE,RUNNERUPVOTES,RUNNERUPCANDIDATE,RUNNERUPPARTY,RUNNERUPPERCENTAGE,MARGIN,percentage_margin,POLLING_ON
182,183,Raebareli District,Unchahar,Manoj Kumar Pandey,SP,82514,38.92,75893,Amarpal Maurya,BJP,35.79,6621,3.13,23 February 2022
183,184,Amethi District,Jagdishpur (SC),Suresh Kumar,BJP,89315,43.94,66491,Vijay Kumar,INC,32.71,22824,11.23,27 February 2022
184,185,Amethi District,Gauriganj,Rakesh Pratap Singh,SP,79040,38.96,72077,Chandra Prakash Mishra Matiyari,BJP,35.53,6963,3.43,27 February 2022
185,186,Amethi District,Amethi,Maharaj Prajapati,SP,88217,46.46,70121,Sanjaya Sinh,BJP,39.93,18096,6.53,27 February 2022
186,187,Sultanpur District,Isauli,Mohd Tahir Khan,SP,69629,34.34,69360,Om Prakash Pandey,BJP,34.21,269,0.13,27 February 2022
187,188,Sultanpur District,Sultanpur,Vinod Singh,BJP,92715,42.24,91706,Anoop Sanda,SP,41.78,1009,0.46,27 February 2022
188,189,Sultanpur District,Sultanpur Sadar,Raj Prasad Upadhyay,BJP,85249,41.89,69495,Arun Verma,SP,34.15,15754,7.74,27 February 2022
189,190,Sultanpur District,Lambhua,Sitaram Verma,BJP,82999,39.37,73466,Santosh Pandey,SP,34.85,9533,4.52,27 February 2022
190,191,Sultanpur District,Kadipur (SC),Rajesh Kumar Gautam,BJP,96405,43.44,70682,Bhagelu Ram,SP,31.85,25723,11.59,27 February 2022
191,192,Farrukhabad District,Kaimganj,Dr. Surabhi,AD(S),114952,47.65,96409,Sarvesh Ambedkar,SP,39.97,18543,7.68,20 February 2022
192,193,Farrukhabad District,Amritpur,Sushil Kumar Shakya,BJP,98848,53.1,54162,Dr. Jitendra Singh Yadav,SP,29.1,44686,24,20 February 2022
193,194,Farrukhabad District,Farrukhabad,Major Sunil Dutt Trivedi,BJP,112314,53.83,72988,Suman Shakya,SP,34.99,39326,18.84,20 February 2022
194,195,Farrukhabad District,Bhojpur,Nagendra Singh Rathore,BJP,99979,50.68,72521,Arshad Jamal Siddiqui,SP,36.76,27468,13.92,20 February 2022
195,196,Kannauj District,Chhibramau,Archana Pandey,BJP,124773,44.31,123662,Arvind Singh Yadav,SP,43.91,1111,0.4,20 February 2022
196,197,Kannauj District,Tirwa,Kailash Singh Rajput,BJP,106089,44.51,101481,Anil Kumar Pal,SP,42.57,4608,1.94,20 February 2022
197,198,Kannauj District,Kannauj (SC),Asim Arun,BJP,120876,44.53,114786,Anil Kumar Dohare,SP,42.29,6090,2.24,20 February 2022
198,199,Etawah District,Jaswantnagar,Shivpal Singh Yadav,SP,159718,62.97,68739,Vivek Shakya,BJP,27.1,90979,35.87,20 February 2022
199,200,Etawah District,Etawah,Sarita Bhadauria,BJP,98150,39.97,94166,Sarvesh Kumar Shakya,SP,38.35,3984,1.62,20 February 2022
200,201,Etawah District,Bharthana (SC),Raghavendra Gautam,SP,103676,42.02,96117,Siddharth Shanker,BJP,38.96,7559,3.06,20 February 2022
201,202,Auraiya District,Bidhuna,Rekha Verma,SP,92757,42.59,89492,Riya Shakya,BJP,39.19,3265,3.4,20 February 2022
202,203,Auraiya District,Dibiyapur,Pradeep Kumar Yadav,SP,80865,40.34,80392,Lakhan Singh Rajput,BJP,40.1,473,0.24,20 February 2022
203,204,Auraiya District,Auraiya (SC),Gudiya Katheriya,BJP,88631,45.28,66184,Jitendra Kumar Dohare,SP,33.81,22447,11.47,20 February 2022
204,205,Kanpur Dehat District,Rasulabad (SC),Poonam Sankhwar,BJP,91783,46.77,70271,Kamlesh Chandra Diwakar,SP,35.8,21512,10.97,20 February 2022
205,206,Kanpur Dehat District,Akbarpur-Raniya,Pratibha Shukla,BJP,92827,43.82,79410,Dr. Ram Prakash Kushwaha,SP,37.49,13417,6.33,20 February 2022
206,207,Kanpur Dehat District,Sikandra,Ajit Singh Pal,BJP,89461,44.89,57894,Prabhakar Pandey,SP,29.05,31567,15.84,20 February 2022
207,208,Kanpur Dehat District,Bhognipur,Rakesh Sachan,BJP,87809,40.25,75916,Narendra Pal Singh,SP,34.8,11893,5.45,20 February 2022
208,209,Kanpur Nagar District,Bilhaur (SC),Rahul Bachha Sonkar,BJP,123094,50.34,80743,Rachna Singh,SP,33.02,42351,17.32,20 February 2022
209,210,Kanpur Nagar District,Bithoor,Abhijeet Singh Sanga,BJP,107330,44.46,86257,Munendra Shukla,SP,35.73,21073,8.73,20 February 2022
210,211,Kanpur Nagar District,Kalyanpur,Neelima Katiyar,BJP,98997,52.71,77462,Satish Kumar Nigam,SP,41.24,21535,11.47,20 February 2022
211,212,Kanpur Nagar District,Govindnagar,Surendra Maithani,BJP,117501,61.03,36605,Vikas Yadav,SP,19.05,80896,41.98,20 February 2022
212,213,Kanpur Nagar District,Sishamau,Haji Irfan Solanki,SP,79163,50.68,66897,Salil Vishnoi,BJP,42.83,12266,7.85,20 February 2022
213,214,Kanpur Nagar District,Arya Nagar,Amitabh Bajpai,SP,76897,50.56,68973,Suresh Awasthi,BJP,45.35,7924,5.21,20 February 2022
214,215,Kanpur Nagar District,Kidwai Nagar,Mahesh Trivedi,BJP,114111,55.39,76351,Ajay Kapoor,INC,37.06,37760,18.33,20 February 2022
215,216,Kanpur Nagar District,Kanpur Cantonment,Mohammed Hasan,SP,94729,49.99,74742,Raghunandan Singh Bhadauria,BJP,39.44,19987,10.55,20 February 2022
216,217,Kanpur Nagar District,Maharajpur,Satish Mahana,BJP,152883,60.6,70622,Fateh Bahadur Singh Gill,SP,28,82261,32.6,20 February 2022
217,218,Kanpur Nagar District,Ghatampur (SC),Saroj Kureel,AD(S),81727,41.6,67253,Bhagwati Prasad Sagar,SP,34.23,14474,7.37,20 February 2022
218,219,Jalaun District,Madhogarh,Moolchandra Singh,BJP,105231,41.29,70257,Sheetal Kushwaha,BSP,27.57,34974,13.72,20 February 2022
219,220,Jalaun District,Kalpi,Vinod Chaturvedi,SP,69782,29.48,66966,Chhote Singh,NISHAD,28.29,816,1.19,20 February 2022
220,221,Jalaun District,Orai (SC),Gauri Shankar,BJP,128644,47.45,90996,Dayashankar Verma,SP,33.56,37648,13.89,20 February 2022
221,222,Jhansi District,Babina,Rajeev Singh 'Parichha',BJP,118343,50.44,73814,Yashpal Singh Yadav,SP,31.46,44529,18.98,20 February 2022
222,223,Jhansi District,Jhansi Nagar,Ravi Sharma,BJP,148262,58.65,71909,Sitaram Kushwaha,SP,28.45,76353,30.2,20 February 2022
223,224,Jhansi District,Mauranipur (SC),Rashmi Arya,AD(S),143577,51.83,84982,Tilak Chandra Ahirwar,SP,30.68,58595,21.15,20 February 2022
224,225,Jhansi District,Garautha,Jawahar Singh Rajput,BJP,114059,48.34,80397,Deep Narayan Singh,SP,34.07,33662,14.27,20 February 2022
225,226,Lalitpur District,Lalitpur,Ramratan Kushwaha,BJP,176550,52.99,69335,Chandrabhusan Singh Bundela Guddu Raja,BSP,20.81,107215,32.18,20 February 2022
226,227,Lalitpur District,Mehroni (SC),Manohar Lal,BJP,184778,54.86,74327,Kiran Ramesh Khatik,BSP,22.07,110451,32.79,20 February 2022
227,228,Hamirpur District,Hamirpur,Manoj Kumar Prajapati,BJP,105432,40.14,79947,Ram Prakash Prajapati,SP,30.44,25485,9.7,20 February 2022
228,229,Hamirpur District,Rath (SC),Manisha Anuragi,BJP,139373,53.79,77394,Chandravati,SP,29.87,61979,23.92,20 February 2022
229,230,Mahoba District,Mahoba,Rakesh Goswami,BJP,94490,45.61,51043,Manoj Tiwari,SP,24.64,43447,20.97,20 February 2022
230,231,Mahoba District,Charkhari,Brijbhushan Rajpoot,BJP,102051,45.75,60170,Ramjeevan Yadav,SP,26.97,41881,18.78,20 February 2022
231,232,Banda District,Tindwari,Ramakesh Nishad,BJP,86812,44.24,58387,Brijesh Prajapati,SP,29.76,28425,14.48,23 February 2022
232,233,Banda District,Baberu,Vishambhar Singh Yadav,SP,79614,38.75,72221,Ajay Kumar,BJP,35.15,7393,3.6,23 February 2022
233,234,Banda District,Naraini (SC),Smt. Ommani Verma,BJP,83263,38.91,76544,Kiran Verma,SP,35.77,6719,3.14,23 February 2022
234,235,Banda District,Banda,Prakash Dwivedi,BJP,81557,41.34,66343,Manjula Singh,SP,33.63,15214,7.71,23 February 2022
235,236,Chitrakoot District,Chitrakoot,Anil Pradhan Patel,SP,104771,43.23,83895,Chandrika Prasad Upadhyay,BJP,34.62,20876,8.61,27 February 2022
236,237,Chitrakoot District,Manikpur,Avinash Chandra Dwivedi,AD(S),73132,35.17,72084,Veer Singh Patel,SP,34.67,1048,0.5,27 February 2022
237,238,Fatehpur District,Jahanabad,Rajendra Singh Patel,BJP,78503,41.21,60311,Madan Gopal Verma,SP,31.66,18192,9.55,23 February 2022
238,239,Fatehpur District,Bindki,Jai Kumar Singh Jaiki,AD(S),78165,40.96,74368,Rameshwar Dayal urf Dayalu Omer,SP,38.97,3797,1.99,23 February 2022
239,240,Fatehpur District,Fatehpur,Chandra Prakash Lodhi,SP,96839,45.24,88238,Vikram Singh,BJP,41.22,8601,4.02,23 February 2022
240,241,Fatehpur District,Ayah Shah,Vikas Gupta,BJP,71231,44.4,58225,Vishambhar Prasad Nishad,SP,36.3,13006,8.1,23 February 2022
241,242,Fatehpur District,Husainganj,Smt. Usha Maurya,SP,91884,48.78,66703,Ranvendra Pratap Singh,BJP,35.41,25181,13.37,23 February 2022
242,243,Fatehpur District,Khaga (SC),Krishna Paswan,BJP,83735,41.87,78226,Ramthirth Paramhans,SP,39.12,5509,2.75,23 February 2022
243,244,Pratapgarh District,Rampur Khas,Aradhana Misra Mona,INC,84334,50.27,69593,Nagesh Pratap Singh,BJP,41.49,14741,8.78,27 February 2022
244,245,Pratapgarh District,Babaganj (SC),Vinod Kumar,JD(L),67282,40.34,51515,Girish Chandra,SP,30.8,15767,9.54,27 February 2022
245,246,Pratapgarh District,Kunda,Raghuraj Pratap Singh,JD(L),99612,50.58,69297,Gulshan Yadav,SP,35.19,30315,15.39,27 February 2022
246,247,Pratapgarh District,Vishwanathganj,Jeet Lal Patel,AD(S),86829,43.21,38777,Saurabh Singh,SP,19.3,48052,23.91,27 February 2022
247,248,Pratapgarh District,Pratapgarh,Rajendra Maurya,BJP,89762,45.8,64699,Krishna Patel,AD(K),33.01,25063,12.79,27 February 2022
248,249,Pratapgarh District,Patti,Ram Singh,SP,108070,48.73,86019,Rajendra Pratap Singh,BJP,38.79,22051,9.94,27 February 2022
249,250,Pratapgarh District,Raniganj,Rakesh Kumar Verma,SP,75583,40.05,72934,Dhiraj Ojha,BJP,38.65,2649,1.4,27 February 2022
250,251,Kaushambi District,Sirathu,Pallavi Patel,SP,106278,46.49,98941,Keshav Prasad Maurya,BJP,43.28,7337,3.21,27 February 2022
251,252,Kaushambi District,Manjhanpur (SC),Indrajit Saroj,SP,121506,47.2,97628,Lal Bahadur,BJP,37.93,23878,9.27,27 February 2022
252,253,Kaushambi District,Chail,Pooja Pal,SP,88818,39.65,75609,Nagendra Pratap Singh Patel,AD(S),33.76,13209,5.89,27 February 2022
253,254,Prayagraj District,Phaphamau,Guruprasad Maurya,BJP,91186,43.26,76862,Ansar Ahmad,SP,36.47,14324,36.372,27 February 2022
254,255,Prayagraj District,Soraon (SC),Geeta Pasi,SP,91474,40.99,85884,Jamuna Prasad,AD(S),38.48,5590,2.51,27 February 2022
255,256,Prayagraj District,Phulpur,Praveen Patel,BJP,103557,42,100825,Mujataba Siddiqui,SP,40.89,2732,1.11,27 February 2022
256,257,Prayagraj District,Pratappur,Vijama Yadav,SP,91142,40.09,80186,Rakesh Dhar Tripathi,AD(S),35.27,10956,4.82,27 February 2022
257,258,Prayagraj District,Handia,Hakim Lal Bind,SP,84417,39.36,80874,Prashant Kumar Singh Rahul,NISHAD,37.71,3543,1.65,27 February 2022
258,259,Prayagraj District,Meja,Sandeep Singh,SP,78555,42.12,75116,Neelam Karwariya,BJP,40.28,3439,1.84,27 February 2022
259,260,Prayagraj District,Karachhana,Piyush Ranjan Nishad,BJP,89527,44.06,80199,Ujjwal Raman Singh,SP,39.47,9328,4.59,27 February 2022
260,261,Prayagraj District,Allahabad West,Sidharth Nath Singh,BJP,118759,53.29,88826,Richa Singh,SP,39.86,29933,13.43,27 February 2022
261,262,Prayagraj District,Allahabad North,Harshvardhan Bajpai,BJP,96890,55.07,42007,Sandeep Yadav,SP,23.88,54883,31.19,27 February 2022
262,263,Prayagraj District,Allahabad South,Nand Gopal Gupta,BJP,97864,54.14,71682,Raish Chandra Shukla,SP,39.66,26182,14.48,27 February 2022
263,264,Prayagraj District,Bara (SC),Vachaspati,AD(S),89203,43.49,76739,Ajay Munna,SP,37.38,12464,6.11,27 February 2022
264,265,Prayagraj District,Koraon (SC),Rajmani Kol,BJP,84587,40.74,60100,Ram Deo,SP,28.95,24487,11.79,27 February 2022
265,266,Barabanki District,Kursi,Sakendra Pratap Verma,BJP,118720,41.15,118503,Rakesh Verma,SP,41.07,217,0.08,27 February 2022
266,267,Barabanki District,Ramnagar,Fareed Mahfooz Kidwai,SP,98799,41.96,98538,Sharad Kumar Awasthi,BJP,41.85,261,0.11,27 February 2022
267,268,Barabanki District,Barabanki,Dharmraj Singh Yadav,SP,125500,47.11,90450,Dr. Ramkumari Maurya,BJP,33.95,35050,13.16,27 February 2022
268,269,Barabanki District,Zaidpur (SC),Gaurav Kumar,SP,113558,40.86,110576,Ambrish Rawat,BJP,39.79,2982,1.07,27 February 2022
269,270,Barabanki District,Dariyabad,Satish Sharma,BJP,127983,46.87,95366,Arvind Kumar Singh Gope,SP,35.03,32617,11.84,27 February 2022
270,271,Ayodhya District,Rudauli,Ram Chandra Yadav,BJP,94031,42.95,53415,Anand Sen,SP,24.4,40616,18.55,27 February 2022
271,272,Barabanki District,Haidergarh (SC),Dinesh Rawat,BJP,117113,50.9,91422,Ram Magan Rawat,SP,39.73,25691,11.17,27 February 2022
272,273,Ayodhya District,Milkipur (SC),Awadhesh Prasad,SP,103905,47.99,90567,Baba Gorakhnath,BJP,41.83,13338,6.16,27 February 2022
273,274,Ayodhya District,Bikapur,Amit Singh Chauhan,BJP,107268,44.24,101708,Firoz Khan,SP,42.04,5560,2.2,27 February 2022
274,275,Ayodhya District,Ayodhya,Ved Prakash Gupta,BJP,113414,49.04,93424,Tej Narayan Pandey,SP,40.4,19990,8.64,27 February 2022
275,276,Ayodhya District,Goshainganj,Abhay Singh,SP,105863,43.87,92784,Arti Tiwari,BJP,38.45,13079,5.42,27 February 2022
276,277,Ambedkar Nagar District,Katehari,Lalji Verma,SP,93524,37.78,85828,Avadhesh Kumar,NISHAD,34.67,7696,3.11,3 March 2022
277,278,Ambedkar Nagar District,Tanda,Ram Murti Verma,SP,95263,43.49,63166,Kapil Deo,BJP,28.84,32097,14.65,3 March 2022
278,279,Ambedkar Nagar District,Alapur (SC),Tribhuwan Dutt,SP,74165,35.55,64782,Triveniram,BJP,31.05,9383,4.5,3 March 2022
279,280,Ambedkar Nagar District,Jalalpur,Rakesh Pandey,SP,93668,36.18,80038,Dr. Rajesh Singh,BSP,30.91,13630,5.27,3 March 2022
280,281,Ambedkar Nagar District,Akbarpur,Ram Achal Rajbhar,SP,81391,38.14,69595,Dharmraj Nishad,BJP,32.39,12336,5.75,3 March 2022
281,282,Bahraich District,Balha (SC),Saroj Sonkar,BJP,100483,46.78,83910,Akshaybar Nath Kanaujiya,SP,39.06,16573,7.72,27 February 2022
282,283,Bahraich District,Nanpara,Ram Niwas Verma,AD(S),87689,43.91,75505,Madhuri Verma,SP,37.81,12184,6.1,27 February 2022
283,284,Bahraich District,Matera,Mariya Shah,SP,102255,48.13,91827,Arun Veer Singh,BJP,43.24,10428,4.89,27 February 2022
284,285,Bahraich District,Mahasi,Sureshwar Singh,BJP,117883,54.58,75199,Krishna Kumar Ojha,SP,34.82,42684,19.76,27 February 2022
285,286,Bahraich District,Bahraich,Anupma Jaiswal,BJP,107628,46.45,103550,Yasar Shah,SP,44.69,4078,1.76,27 February 2022
286,287,Bahraich District,Payagpur,Subhash Tripathi,BJP,110162,47.77,98106,Mukesh Srivastava,SP,42.54,12056,5.23,27 February 2022
287,288,Bahraich District,Kaiserganj,Anand Kumar,SP,103195,45.51,95424,Gaurav Verma,BJP,42.11,7771,3.4,27 February 2022
288,289,Shrawasti District,Bhinga,Indrani Devi,SP,103661,44.85,90087,Padam Sen Chaudhary,BJP,38.98,13574,5.87,27 February 2022
289,290,Shrawasti District,Shrawasti,Ram Feran Pandey,BJP,98640,38.98,97183,Mohhamad Aslam Rainee,SP,38.4,1457,0.58,27 February 2022
290,291,Balrampur District,Tulsipur,Kailash Nath,BJP,87092,42.92,51251,Zeba Rizwan,IND,25.27,35841,17.65,3 March 2022
291,292,Balrampur District,Gainsari,Shiv Pratap Yadav,SP,75345,39.68,69508,Shailesh Kumar Singh,BJP,36.61,5837,3.07,3 March 2022
292,293,Balrampur District,Utraula,Ram Pratap Verma,BJP,87162,44.43,65393,Haseeb Hasan Khan,SP,33.93,21769,10.5,3 March 2022
293,294,Balrampur District,Balrampur (SC),Paltu Ram,BJP,101146,48.93,90175,Jagram Paswan,SP,43.62,10971,5.31,3 March 2022
294,295,Gonda District,Mehnaun,Vinay Kumar Dwivedi,BJP,107237,50.05,84109,Nandita Shukla,SP,39.22,23128,10.83,27 February 2022
295,296,Gonda District,Gonda,Prateek Bhushan Singh,BJP,96528,48.21,89828,Suraj Singh,SP,44.87,6700,3.34,27 February 2022
296,297,Gonda District,Katra Bazar,Bawan Singh,BJP,112291,47.86,93834,Baijnath Dubey,SP,39.99,18457,7.87,27 February 2022
297,298,Gonda District,Colonelganj,Ajay Kumar Singh,BJP,108109,55.8,72637,Yogesh Pratap Singh,SP,37.49,35472,18.31,27 February 2022
298,299,Gonda District,Tarabganj,Prem Narayan Pandey,BJP,125325,59.39,71365,Ram Bhajan Chaubey,SP,33.95,53690,25.44,27 February 2022
299,300,Gonda District,Mankapur (SC),Ramapati Shastri,BJP,105677,57.69,63328,Ramesh Chandra,SP,34.57,42349,23.12,27 February 2022
300,301,Gonda District,Gaura,Prabhat Kumar Verma,BJP,73545,42.62,50571,Sanjay Kumar,SP,29.31,22974,13.31,27 February 2022
301,302,Siddharthnagar District,Shohratgarh,Vinay Verma,AD(S),71062,37.46,46599,Prem Chand Nishad,SBSP,22.56,24463,14.9,3 March 2022
302,303,Siddharthnagar District,Kapilvastu (SC),Shyamdhani Rahi,BJP,122940,48.72,92001,Vinay Paswan,SP,36.46,30939,12.26,3 March 2022
303,304,Siddharthnagar District,Bansi,Jai Pratap Singh,BJP,84596,44.82,64256,Monu Dubey,SP,34.04,20340,10.78,3 March 2022
304,305,Siddharthnagar District,Itwa,Mata Prasad Pandey,SP,64253,38.54,62591,Satish Chandra Dwiwedi,BJP,37.55,1662,0.99,3 March 2022
305,306,Siddharthnagar District,Domariyaganj,Saiyadha Khatoon,SP,85098,41.19,84327,Raghvendra Pratap Singh,BJP,40.82,771,0.37,3 March 2022
306,307,Basti District,Harraiya,Ajay Kumar Singh,BJP,88200,39.75,69871,Triyambak Pathak,SP,31.57,18329,8.18,3 March 2022
307,308,Basti District,Kaptanganj,Kavindra Chaudhary,SP,94273,43.66,70094,Chandra Prakash Shukla,BJP,32.46,24179,11.2,3 March 2022
308,309,Basti District,Rudhauli,Rajendra Chaudhary,SP,86360,36.82,71134,Sangeeta Pratap Jaiswal,BJP,30.33,15226,6.49,3 March 2022
309,310,Basti District,Basti Sadar,Mahendra Nath Yadav,SP,86029,39.81,84250,Dayaram Choudhary,BJP,38.99,1779,0.82,3 March 2022
310,311,Basti District,Mahadewa (SC),Doodh Ram,SBSP,83350,39.47,77855,Ravi Kumar Sonkar,BJP,36.87,5495,2.6,3 March 2022
311,312,Sant Kabir Nagar District,Menhdawal,Anil Kumar Tripathi,NISHAD,90193,37.23,84970,Jay Chand,SP,35.08,5223,2.15,3 March 2022
312,313,Sant Kabir Nagar District,Khalilabad,Ankur Tiwari,BJP,76086,30.36,63464,Digvijay Narayan,SP,25.32,12262,5.04,3 March 2022
313,314,Sant Kabir Nagar District,Dhanghata (SC),Ganesh Chandra,BJP,83241,38.5,72688,Alagu Prasad,SBSP,33.62,10553,4.88,3 March 2022
314,315,Maharajganj District,Pharenda,Virendra Chaudhary,INC,85181,40.28,83935,Bajrang Bahadur Singh,BJP,35.69,1246,4.59,3 March 2022
315,316,Maharajganj District,Nautanwa,Rishi Tripathi,NISHAD,90263,40.03,74392,Kunwar Kaushal Singh,SP,33.23,15691,6.8,3 March 2022
316,317,Maharajganj District,Siswa,Prem Sagar Patel,BJP,127673,50.05,64942,Sushil Kumar Tibrewal,SP,25.46,62731,24.59,3 March 2022
317,318,Maharajganj District,Maharajganj (SC),Jai Mangal Kanojiya,BJP,136071,51.08,59168,Nirmesh Mangal,IND,22.53,76903,28.55,3 March 2022
318,319,Maharajganj District,Paniyara,Gyanendra Singh,BJP,135463,52.11,74035,Krishnabhan Singh Sainthwar,SP,28.48,61428,23.63,3 March 2022
319,320,Gorakhpur District,Caimpiyarganj,Fateh Bahadur Singh,BJP,122032,54.38,79376,Kajal Nishad,SP,35.37,42656,19.01,3 March 2022
320,321,Gorakhpur District,Pipraich,Mahendra Pal Singh,BJP,141780,54.86,76423,Amrendra Nishad,SP,29.57,65357,25.29,3 March 2022
321,322,Gorakhpur District,Gorakhpur Urban,Yogi Adityanath,BJP,165499,66.18,62109,Subhawati Upendra Dutt Shukla,SP,24.84,103390,41.34,3 March 2022
322,323,Gorakhpur District,Gorakhpur Rural,Bipin Singh,BJP,126376,49.59,102306,Vijay Bahadur Yadav,SP,40.14,24070,9.45,3 March 2022
323,324,Gorakhpur District,Sahajanwa,Pradeep Shukla,BJP,105981,47.21,62575,Yashwant Singh Rawat,SP,27.87,43406,19.34,3 March 2022
324,325,Gorakhpur District,Khajani (SC),Sriram Chauhan,BJP,90210,45.31,53109,Rupawati Beldar,SP,26.71,37101,18.6,3 March 2022
325,326,Gorakhpur District,Chauri-Chaura,Sarvan Kumar Nishad,BJP,91958,44.65,50831,Captain Brijesh Chandra Lal Paswan,SP,24.68,41127,19.97,3 March 2022
326,327,Gorakhpur District,Bansgaon (SC),Vimlesh Paswan,BJP,87224,46.26,54915,Sanjay Kumar,SP,29.13,32209,17.13,3 March 2022
327,328,Gorakhpur District,Chillupar,Rajesh Tripathi,BJP,96777,42.49,75132,Vinay Shankar Tiwari,SP,32.98,21645,9.51,3 March 2022
328,329,Kushinagar District,Khadda,Vivek Anand Pandey,NISHAD,88291,43.08,46840,Vijay Pratap Kushwaha,IND,22.85,41451,20.23,3 March 2022
329,330,Kushinagar District,Padrauna,Manish Jaiswal,BJP,114496,49.8,72488,Vikram Yadav,SP,31.53,42008,18.27,3 March 2022
330,331,Kushinagar District,Tamkuhi Raj,Asim Kumar,BJP,115123,50.81,48651,Uday Narayan,SP,21.47,66472,29.34,3 March 2022
331,332,Kushinagar District,Fazilnagar,Surendra Kumar Kushwaha,BJP,116029,51.61,71015,Swami Prasad Maurya,SP,31.15,45014,20.46,3 March 2022
332,333,Kushinagar District,Kushinagar,Panchanand Pathak,BJP,115268,52.14,80478,Rajesh Pratap Rao,SP,36.4,34790,15.74,3 March 2022
333,334,Kushinagar District,Hata,Mohan Verma,BJP,120666,55.7,61301,Ranvijay Singh,SP,28.3,59365,27.4,3 March 2022
334,335,Kushinagar District,Ramkola (SC),Vinay Prakash Gond,BJP,124792,58.27,52249,Purnmasi Dehati,SBSP,24.4,72543,33.87,3 March 2022
335,336,Deoria District,Rudrapur,Jai Prakash Nishad,BJP,78187,42.99,36251,Ram Bhuwal Nishad,SP,19.93,41936,23.06,3 March 2022
336,337,Deoria District,Deoria,Shalabh Mani Tripathi,BJP,106701,53.52,66046,Ajay Pratap Singh Sainthwar,SP,33.13,40655,20.39,3 March 2022
337,338,Deoria District,Pathardeva,Surya Pratap Shahi,BJP,93858,46.65,65177,Brahma Shankar Tripathi,SP,32.4,28681,14.25,3 March 2022
338,339,Deoria District,Rampur Karkhana,Surendra Chaurasia,BJP,90742,43.85,76072,Ghazala Lari,SP,36.76,14670,7.09,3 March 2022
339,340,Deoria District,Bhatpar Rani,Sabha Kumar Kushwaha,BJP,91282,46.98,73200,Ashutosh Upadhyay,SP,37.68,18082,9.3,3 March 2022
340,341,Deoria District,Salempur (SC),Vijay Laxmi Gautam,BJP,82047,46.15,65439,Manbodh Prasad,SBSP,36.8,16608,9.35,3 March 2022
341,342,Deoria District,Barhaj,Deepak Mishra,BJP,85758,46.33,68897,Murli Manohar Jaiswal,SP,37.22,16861,9.11,3 March 2022
342,343,Azamgarh District,Atrauliya,Dr. Sangram Singh Yadav,SP,91502,39.55,74255,Prashant Singh,NISHAD,32.1,17247,7.45,7 March 2022
343,344,Azamgarh District,Gopalpur,Nafis Ahmed,SP,84401,40.87,60094,Satyendra Rai,BJP,29.1,24307,11.77,7 March 2022
344,345,Azamgarh District,Sagri,Hriday Narayan Singh Patel,SP,83093,42.76,60578,Smt. Vandana Singh,BJP,31.17,22515,11.59,7 March 2022
345,346,Azamgarh District,Mubarakpur,Akhilesh Yadav,SP,80726,36.02,51623,Arvind Jaiswal,BJP,23.03,29103,12.99,7 March 2022
346,347,Azamgarh District,Azamgarh,Durga Prasad Yadav,SP,100813,42.66,84777,Akhilesh Kumar Mishra,BJP,35.87,16036,6.79,7 March 2022
347,348,Azamgarh District,Nizamabad,Alambadi,SP,79835,43.22,45648,Manoj,BJP,24.71,34187,18.51,7 March 2022
348,349,Azamgarh District,Phoolpur Pawai,Ramakant Yadav,SP,81164,42,55858,Ramsurat Rajbhar,BJP,28.91,25306,13.09,7 March 2022
349,350,Azamgarh District,Didarganj,Kamalakant Rajbhar,SP,74342,36.99,60781,Krishna Murari Vishwakarma,BJP,30.25,13561,6.74,7 March 2022
350,351,Azamgarh District,Lalganj (SC),Bechai Saroj,SP,83767,38.31,69034,Neelam Sonkar,BJP,31.57,14733,6.74,7 March 2022
351,352,Azamgarh District,Mehnagar (SC),Puja Saroj,SP,86960,39.35,72811,Manju Saroj,BJP,32.94,14149,6.41,7 March 2022
352,353,Mau District,Madhuban,Ramvilash Chauhan,BJP,79032,35.24,74584,Umesh Pandey,SP,33.26,4448,1.98,7 March 2022
353,354,Mau District,Ghosi,Dara Singh Chauhan,SP,108430,42.21,86214,Vijay Rajbhar,BJP,33.57,22216,8.64,7 March 2022
354,355,Mau District,Muhammadabad-Gohna (SC),Rajendra Kumar,SP,94688,41.48,68039,Smt. Poonam Saroj,BJP,29.8,26649,11.68,7 March 2022
355,356,Mau District,Mau,Abbas Ansari,SBSP,124691,44.69,86575,Ashok Singh,BJP,31.03,38116,13.66,7 March 2022
356,357,Ballia District,Belthara Road (SC),Hansu Ram,SBSP,78995,39.57,73481,Chhattu Ram,BJP,36.81,5514,2.76,3 March 2022
357,358,Ballia District,Rasara,Umashankar Singh,BSP,87887,43.82,81304,Mahendra,SBSP,40.54,6583,3.28,3 March 2022
358,359,Ballia District,Sikanderpur,Jiyauddin Rizvi,SP,75446,42.75,63591,Sanjay Yadav,BJP,36.03,11855,6.72,3 March 2022
359,360,Ballia District,Phephana,Sangram Singh,SP,92516,48.78,73162,Upendra Tiwari,BJP,38.57,19354,10.21,3 March 2022
360,361,Ballia District,Ballia Nagar,Dayashankar Singh,BJP,103873,51.22,77634,Narad Rai,SP,38.28,26239,12.94,3 March 2022
361,362,Ballia District,Bansdih,Smt. Ketakee Singh,BJP,103305,47.67,81953,Ram Govind Chaudhary,SP,37.82,21352,9.85,3 March 2022
